V_BZNO,DEFAULT_YM,IS_RECOVERED,RECOVER_DT,DEFAULT_DT,DSH_RSN_CNT,DSH_RSN_DSC,RECOVER_YM
1000000056,202410,0,,2024-10-07,1,41,
1000000261,202504,0,,2025-04-18,1,41,
1000000346,202401,1,2024-06-20,2024-01-04,2,41|50,202406
1000000346,202506,0,,2025-06-14,1,40,
1000000417,202408,0,,2024-08-19,1,41,
1000000470,202308,0,,2023-08-14,1,41,
1000000499,202412,1,2025-05-26,2024-12-02,1,50,202505
1000000663,202512,0,,2025-12-18,1,41,
1000000673,202512,0,,2025-12-20,1,40,
1000000677,202307,0,,2023-07-21,1,41,
1000000888,202401,0,,2024-01-08,1,41,
1000000897,202411,0,,2024-11-07,1,40,
1000000991,202212,0,,2022-12-27,1,41,
1000001023,202406,0,,2024-06-22,1,40,
1000001174,202410,1,2024-11-12,2024-10-10,1,40,202411
1000001212,202405,0,,2024-05-31,1,41,
1000001215,202402,0,,2024-02-14,1,41,
1000001223,202502,1,2025-02-27,2025-02-22,1,41,202502
1000001294,202308,0,,2023-08-05,1,41,
1000001298,202405,0,,2024-05-09,1,41,
1000001306,202101,0,,2021-01-26,1,40,
1000001320,202512,0,,2025-12-06,1,41,
1000001324,202409,0,,2024-09-25,1,41,
1000001363,202312,0,,2023-12-08,1,41,
1000001382,202507,0,,2025-07-30,1,41,
1000001404,202210,0,,2022-10-06,1,41,
1000001410,202402,0,,2024-02-05,1,41,
1000001419,202602,0,,2026-02-28,1,41,
1000001443,202412,0,,2024-12-09,1,40,
1000001505,202409,0,,2024-09-04,1,41,
1000001512,202310,0,,2023-10-28,1,41,
1000001609,202402,0,,2024-02-13,1,40,
1000001684,202406,0,,2024-06-14,1,41,
1000001785,202109,0,,2021-09-03,1,41,
1000001798,202109,0,,2021-09-06,1,40,
1000001899,202507,0,,2025-07-09,1,41,
1000001921,202211,0,,2022-11-10,1,41,
1000001966,202301,0,,2023-01-04,1,41,
1000002068,202212,0,,2022-12-15,1,41,
1000002105,202205,0,,2022-05-10,1,40,
1000002133,202403,0,,2024-03-16,1,41,
1000002179,202310,0,,2023-10-16,1,41,
1000002245,202409,0,,2024-09-27,1,41,
1000002283,202604,0,,2026-04-23,1,41,
1000002369,202207,0,,2022-07-12,1,41,
1000002373,202605,0,,2026-05-04,1,41,
1000002375,202201,0,,2022-01-28,1,41,
1000002444,202603,0,,2026-03-12,1,41,
1000002451,202110,0,,2021-10-20,1,41,
1000002454,202501,0,,2025-01-09,1,41,
1000002466,202410,0,,2024-10-19,1,41,
1000002477,202302,0,,2023-02-09,1,40,
1000002575,202306,0,,2023-06-15,1,41,
1000002610,202512,0,,2025-12-27,1,41,
1000002676,202509,0,,2025-09-18,1,41,
1000002809,202204,0,,2022-04-23,1,41,
1000002815,202310,0,,2023-10-07,1,41,
1000002834,202601,0,,2026-01-24,1,41,
1000002889,202404,1,2024-04-29,2024-04-03,1,41,202404
1000002940,202110,1,2023-06-13,2021-10-30,1,41,202306
1000002940,202401,0,,2024-01-09,1,41,
1000002964,202210,0,,2022-10-27,1,41,
1000002992,202602,0,,2026-02-06,1,41,
1000003037,202401,0,,2024-01-09,1,41,
1000003086,202110,1,2022-05-31,2021-10-01,1,41,202205
1000003159,202406,0,,2024-06-27,1,41,
1000003194,202507,0,,2025-07-30,1,41,
1000003238,202105,0,,2021-05-28,1,41,
1000003254,202204,0,,2022-04-28,1,41,
1000003255,202501,0,,2025-01-10,1,41,
1000003286,202401,0,,2024-01-25,1,41,
1000003290,202512,0,,2025-12-19,1,41,
1000003326,202509,0,,2025-09-20,1,41,
1000003343,202106,0,,2021-06-14,1,41,
1000003386,202201,0,,2022-01-15,1,41,
1000003404,202603,0,,2026-03-28,1,41,
1000003415,202506,0,,2025-06-20,1,41,
1000003496,202207,1,2022-09-15,2022-07-11,1,41,202209
1000003496,202212,0,,2022-12-19,1,10,
