V_BZNO|BASDT1|PERS1|BASDT2|PERS2|BASDT3|PERS3|BASDT4|PERS4|BASDT5|PERS5|BASDT6|PERS6|BASDT7|PERS7|BASDT8|PERS8|BASDT9|PERS9|BASDT10|PERS10|BASDT11|PERS11|
가상_사업자번호|기준일자1|종업원수1|기준일자2|종업원수2|기준일자3|종업원수3|기준일자4|종업원수4|기준일자5|종업원수5|기준일자6|종업원수6|기준일자7|종업원수7|기준일자8|종업원수8|기준일자9|종업원수9|기준일자10|종업원수10|기준일자11|종업원수11|
1000016951|20210630|128|20211231|124|20220630|128|20221223|105|20230630|104|20231226|106|20240630|99|20241219|99|20250630|128|20251216|135|||
1000011495|20241231|82|20250519|78|||||||||||||||||||
1000016904|20210331|166|20211231|165|20220331|166|20221231|164|20230331|170|20231231|166|20240509|175|20241231|173|20250516|164|||||
1000019441|20210331|5|||||||||||||||||||||
1000014456|20210228|135|20211231|130|20220331|137|20221231|143|20230228|149|20231231|161|20240228|157|20241231|167|20250228|164|20251231|189|20260228|178|
1000017071|20221231|37|20231231|40|20241231|43|20250423|46|20251231|43|20260410|42|||||||||||
1000014458|20210609|9|20211231|9|20220607|9|20221231|9|20230531|8|20231231|9|20240604|8|20241231|9|20250611|5|||||
1000005978|20221231|203|20230406|209|20231231|208|20241231|217|20250421|217|20260403|246|||||||||||
1000000900|20231231|46|20240430|44|20241231|47|20250521|46|||||||||||||||
1000000255|20220404|116|20230331|116|20231231|131|20240322|116|20240830|131|20241231|141|20250317|144|20251231|140|20260318|140|||||
1000000910|20210630|62|20241231|44|20250807|44|||||||||||||||||
1000000776|20211231|16|20220407|17|20221231|19|20230327|18|20231231|18|20240327|16|20241231|14|20250327|14|20251231|14|20260407|14|||
1000018346|20210331|443|20211231|379|20220331|379|20221231|342|20230331|341|20231231|316|20240331|310|20241231|290|20250331|300|20251231|285|20260331|280|
1000010044|20251231|272|20260331|269|||||||||||||||||||
1000014292|20251231|246|20260403|243|||||||||||||||||||
1000014500|20251231|102|20260410|87|||||||||||||||||||
1000000862|20221231|26|20240503|26|||||||||||||||||||
1000016720|20251231|210|20260228|214|||||||||||||||||||
1000000080|20220328|11|20230331|22|||||||||||||||||||
1000013279|20241231|38|20250401|38|20251231|38|20260401|38|||||||||||||||
1000010942|20210616|24|20211231|22|20220615|27|20221231|23|20230616|30|20231231|23|20240616|30|20241231|30|20250617|31|||||
1000000431|20210430|86|20211231|83|||||||||||||||||||
1000017036|20210405|9|20211231|12|20220408|10|20221231|11|20230407|10|20231231|7|20240415|7|20241231|8|20250407|7|20251231|7|20260406|8|
1000000386|20231231|136|20240528|136|20241231|136|20250407|140|20251231|149|20260403|151|||||||||||
1000015438|20251231|289|20260409|284|||||||||||||||||||
1000007095|20210331|13|20211231|14|20251231|15|20260324|15|||||||||||||||
1000020168|20210331|71|20211231|74|20220412|74|20221231|78|20230418|78|||||||||||||
1000014438|20210324|31|20211231|31|20220314|31|20221231|32|20230327|31|20240319|32|20241231|32|20250403|32|20251231|41|20260309|41|||
1000000922|20241231|19|20250513|19|||||||||||||||||||
1000016984|20211231|274|20220630|290|||||||||||||||||||
1000009094|20210731|58|20220331|54|20220731|63|20230331|63|||||||||||||||
1000016981|20241231|125|20250416|124|20251231|134|20260417|124|||||||||||||||
1000007062|20210216|13|20220322|13|20221231|14|20230227|14|20230717|14|20231231|13|20240617|12|20241231|12|20250611|12|||||
1000011566|20210131|82|20211231|82|20220331|82|20221231|80|20230407|84|20231231|88|20240416|88|20241008|91|20241231|90|20250327|89|20251231|83|
1000017111|20211231|127|20220608|129|20251231|126|20260414|146|||||||||||||||
1000000556|20231231|0|20240823|609|||||||||||||||||||
1000013309|20241231|103|20250613|94|||||||||||||||||||
1000001041|20211231|36|20220408|36|20221231|37|20230331|36|20231231|37|20240423|36|20241231|37|20250331|39|20251231|42|20260331|43|||
1000013510|20221231|38|20231018|40|||||||||||||||||||
1000006812|20210426|9|20211231|10|20220426|10|20230425|7|20240425|7|20241231|7|20250424|7|||||||||
1000014412|20210331|60|20211231|62|20220331|62|20221231|67|20230331|67|20231231|72|20240517|84|20241231|83|20250430|84|||||
1000007113|20251231|56|20260406|56|||||||||||||||||||
1000000252|20210408|45|20211231|44|20220329|43|20221231|43|20230329|43|20231231|44|20240329|45|20241231|43|20250329|41|20251231|40|20260331|40|
1000000295|20210420|13|20211231|14|20220531|14|20221231|14|20230531|15|20231231|14|20240605|13|20241231|14|20250602|14|||||
1000001024|20211231|37|20221231|42|20230421|38|20231231|38|20240508|29|20241231|33|20250512|33|20251231|33|20260506|36|||||
1000016939|20250331|94|20260317|94|||||||||||||||||||
1000018431|20211231|67|20220405|66|20221231|71|20230330|69|20241231|60|20250331|61|||||||||||
1000000298|20211111|3471|20220429|3698|20230427|3396|20231231|3396|20240331|3534|20241231|3268|20250331|3849|20251231|3849|20260506|4112|||||
1000000505|20241231|169|20250217|167|||||||||||||||||||
1000001293|20210430|63|20211231|41|20220414|61|20221231|70|20230428|70|20231231|71|20240423|95|20241231|106|20250403|102|||||
1000001425|20221231|88|20231019|89|||||||||||||||||||
1000018426|20251231|99|20260420|101|||||||||||||||||||
1000000258|20211231|214|20220430|204|20221231|203|20230430|209|||||||||||||||
1000000470|20210722|7|||||||||||||||||||||
1000019330|20241231|264|20250613|283|20251231|264|20260415|297|||||||||||||||
1000000301|20241231|254|20250331|263|20251231|272|20260408|273|||||||||||||||
1000000417|20210615|61|20211231|65|20220530|61|20221231|67|20230409|64|20230419|64|20231231|67|20240409|64|||||||
1000001062|20231231|19|20240531|19|20241231|19|20250531|17|||||||||||||||
1000000306|20211231|2038|20220322|2107|||||||||||||||||||
1000001080|20210331|24|20211231|25|20220430|24|20221231|25|20230430|25|20241231|29|20250430|29|||||||||
1000001064|20211231|70|20220421|76|||||||||||||||||||
1000001085|20210414|70|20211231|78|20220411|85|20221231|91|20230419|92|20231231|103|20241231|107|20250410|115|20251231|129|20260413|141|||
1000001054|20220419|77|20221231|99|20230407|105|20231231|85|20240411|107|20241231|85|20250227|107|20251231|117|20260423|119|||||
1000010056|20210228|230|20211231|217|20220331|210|20221231|212|20230331|213|20231231|201|20240331|200|20241231|194|20250331|189|20251231|187|20260313|181|
1000001078|20230630|12|20240430|16|20240630|12|20250430|12|||||||||||||||
1000001079|20211231|72|20220420|69|20221231|41|20230421|42|20241231|56|20250423|54|||||||||||
1000017194|20210731|37|||||||||||||||||||||
1000000565|20220501|596|20221231|596|20230605|715|20231231|715|20240531|755|20241231|825|20250531|840|||||||||
1000001098|20211231|200|20231231|228|20240331|210|||||||||||||||||
1000001065|20251231|303|20260429|303|||||||||||||||||||
1000001094|20210331|67|20211231|56|20221231|77|20230331|85|20231231|89|20240331|78|20240815|60|20241231|54|20250409|64|20251231|53|20260409|54|
1000001103|20251231|48|20260421|48|||||||||||||||||||
1000001056|20210401|152|20211231|152|20220322|157|20221231|143|20230314|134|20231231|142|20240328|143|20241231|140|20250401|139|20251231|138|20260401|137|
1000000486|20210330|249|20211231|333|20220331|352|20221231|366|20230331|374|20231231|364|20240331|346|20241231|328|20250331|325|20251231|324|20260331|312|
1000001106|20210315|266|20220315|339|20230315|296|20231231|304|20240322|295|20241231|304|20250314|299|||||||||
1000000365|20210421|917|||||||||||||||||||||
1000000245|20210413|103|20211231|97|20220411|99|20221231|94|20230410|95|20231231|93|20240411|93|20241114|98|20241231|100|20250429|105|20251231|103|
1000001092|20210428|39|20220331|35|||||||||||||||||||
1000008433|20211231|29|20220516|29|||||||||||||||||||
1000014014|20210330|245|20211231|246|20220324|239|20231231|224|20240329|223|20241231|218|20250327|227|20251231|233|20260331|238|||||
1000010945|20221231|172|20230531|198|20231231|200|20240514|198|20250331|218|20251231|251|20260331|255|||||||||
1000016027|20221231|37|20230731|37|||||||||||||||||||
1000016026|20260409|95|||||||||||||||||||||
1000014524|20221231|120|20230411|122|||||||||||||||||||
1000012506|20210609|201|20211231|179|20220607|158|20221107|141|20221231|149|20230531|114|20231231|125|20240531|100|20241231|128|20250430|114|||
1000010074|20241231|97|20250421|104|20251231|104|20260421|95|||||||||||||||
1000014502|20241231|45|20250319|45|||||||||||||||||||
1000014503|20241231|103|20251210|100|||||||||||||||||||
1000021736|20210331|47|20211231|47|20220325|47|20221231|48|20230329|48|20231231|51|20240328|54|20241231|54|20250319|56|20251231|53|20260327|53|
1000011585|20210331|2114|20211231|2058|20220331|2014|20221231|2009|20230331|2029|20231231|2070|20240331|2063|20241231|2146|20250331|2104|20251231|2117|20260331|2117|
1000010055|20231231|66|20240531|63|20241231|64|20250331|66|20251231|66|20260331|63|||||||||||
1000001020|20231231|321|20240717|321|||||||||||||||||||
1000000290|20210413|33|20211231|30|20220413|28|||||||||||||||||
1000028126|20211027|6|20241231|12|20250716|11|||||||||||||||||
1000016972|20210331|79|20211231|79|20221231|74|20230331|74|20231231|74|20240331|76|20241231|75|20250331|74|20251231|75|20260228|69|||
1000006051|20210228|27|20211231|33|20220331|32|20221231|34|20230331|32|||||||||||||
1000020175|20210630|242|20220523|242|||||||||||||||||||
1000001119|20251231|22|20260402|23|||||||||||||||||||
1000000666|20210405|51|20211231|50|20220406|48|20221231|51|20230410|54|20231231|51|20240412|54|20241231|51|20250417|49|20251231|83|20260430|82|
1000016961|20251231|154|20260331|153|||||||||||||||||||
1000020189|20210430|278|20211231|109|20220430|103|20221231|78|20230430|72|||||||||||||
1000018412|20251231|129|20260407|126|||||||||||||||||||
1000022902|20220427|141|||||||||||||||||||||
1000000622|20241231|75|20250409|76|20260401|72|||||||||||||||||
1000007112|20211231|75|20220630|69|20221231|59|20230430|70|||||||||||||||
1000016952|20210430|17|20211231|17|20220430|17|20231231|18|20240517|18|20241231|18|20250531|19|||||||||
1000001264|20220630|3|20230313|3|||||||||||||||||||
1000000807|20231231|194|20240904|194|||||||||||||||||||
1000016966|20210630|88|20221231|90|20231120|78|||||||||||||||||
1000009524|20211231|252|20220331|256|||||||||||||||||||
1000001265|20241231|33|20250526|33|||||||||||||||||||
1000001134|20221231|30|20230731|27|||||||||||||||||||
1000001170|20241231|0|20250407|76|20251231|76|20260417|67|||||||||||||||
1000001163|20210405|15|20211231|15|20220324|13|20221231|14|20230320|13|20231231|12|20240328|16|20241231|13|20250331|13|20251231|13|20260401|13|
1000001127|20210401|203|20211231|202|20220401|207|20221231|230|20230403|227|20231231|264|20240402|272|20241231|293|20250331|294|20251231|296|20260331|289|
1000001111|20210528|16|20211231|15|20220527|14|20221231|16|20230520|14|20231231|16|20240417|11|||||||||
1000001167|20210506|13|20211231|13|20230615|13|20231231|14|20240809|0|20241231|13|20250508|13|||||||||
1000001168|20231231|30|20240814|30|20241231|33|20250717|31|||||||||||||||
1000001129|20210315|109|20220329|130|20230322|117|20240318|113|20241231|113|20250401|98|||||||||||
1000001137|20210531|61|20211231|79|20220531|82|20221231|61|20230530|65|20231231|69|20240528|61|20241231|68|20250530|63|||||
1000017053|20210330|263|20211231|269|20220331|275|20221231|269|20230228|275|20231231|276|20240409|262|20241231|243|20250321|245|20251231|240|20260331|246|
1000011410|20210228|162|20221231|123|20230228|120|20231231|122|20240829|121|20241231|125|20250430|128|||||||||
1000001128|20221231|10|20230427|10|20231231|13|20240131|12|20240415|13|20241231|7|20250415|9|20251231|7|20260415|10|||||
1000001289|20221231|4|20230615|4|||||||||||||||||||
1000001144|20210331|30|||||||||||||||||||||
1000006010|20210531|13|20211231|11|||||||||||||||||||
1000018432|20210331|221|20211231|191|20220331|79|20221231|124|20230331|124|||||||||||||
1000001138|20251231|1600|20260506|1606|||||||||||||||||||
1000009974|20210624|642|20241231|645|20251027|749|20260219|765|||||||||||||||
1000001139|20211231|155|20220331|155|20221231|144|20230331|142|20231231|146|20240331|158|20241231|161|20250331|163|20251231|38|20260331|44|||
1000007098|20210331|125|20210409|125|20220331|116|20221231|116|20230413|120|20240417|208|20241231|86|20250408|87|20251231|86|20260407|90|||
1000001263|20211231|204|||||||||||||||||||||
1000000821|20210228|24|20211231|29|20220222|24|20221231|25|20230310|25|20231128|36|20231231|36|20241231|37|||||||
1000001207|20231231|2461|20240723|2484|||||||||||||||||||
1000001212|20211231|23|||||||||||||||||||||
1000001204|20210430|59|||||||||||||||||||||
1000001197|20221231|97|20230803|99|20231231|83|20241114|94|||||||||||||||
1000006074|20241231|53|20250402|51|||||||||||||||||||
1000012504|20231231|32|20240614|32|||||||||||||||||||
1000009374|20221231|49|20230821|49|||||||||||||||||||
1000011589|20210407|46|||||||||||||||||||||
1000001228|20211231|34|20220331|35|20221231|35|20230410|36|20231231|40|20240417|46|||||||||||
1000000398|20210329|48|20211231|47|20220405|46|20241231|42|20250421|43|||||||||||||
1000000611|20241231|13|20250718|13|||||||||||||||||||
1000000550|20231231|88|20240312|88|||||||||||||||||||
1000010049|20210430|28|20220228|29|20221231|29|20230331|30|20231231|30|20240404|29|20241231|28|20250331|30|20251231|29|20260331|29|||
1000021722|20211231|28|20220519|26|20231231|27|20240508|28|||||||||||||||
1000000515|20210419|43|||||||||||||||||||||
1000018240|20210331|62|20211231|64|20220331|62|20221231|59|20230430|59|20231231|62|20240419|60|20241231|65|20250418|64|20251231|74|20260408|65|
1000020179|20251231|47|20260406|42|||||||||||||||||||
1000008720|20231231|14|20240630|12|||||||||||||||||||
1000011946|20231231|55|20240331|59|||||||||||||||||||
1000005602|20211231|196|20220429|213|20221231|238|20230425|235|20231231|242|20240502|241|||||||||||
1000000653|20221231|162|20231121|157|||||||||||||||||||
1000000624|20211231|52|20220331|52|20230413|48|20231231|48|20240331|48|20241231|43|20250415|41|20251231|43|20260415|41|||||
1000000451|20231231|90|20240625|100|20251231|79|20260508|98|||||||||||||||
1000018413|20210131|56|20210331|57|20220228|57|20221231|56|20230420|57|||||||||||||
1000016003|20210331|47|||||||||||||||||||||
1000000256|20210531|43|20211231|37|20220531|37|20221231|40|20230615|39|20231231|38|20240621|38|20241231|34|||||||
1000000469|20210311|33|20221231|67|||||||||||||||||||
1000022224|20210228|184|20241231|223|20250401|223|||||||||||||||||
