V_BZNO|LA_XPO_AM_2021_1|DME_AM_2021_1|TOT_SEL_AM_2021_1|LA_XPO_AM_2021_2|DME_AM_2021_2|TOT_SEL_AM_2021_2|LA_XPO_AM_2021_3|DME_AM_2021_3|TOT_SEL_AM_2021_3|LA_XPO_AM_2021_4|DME_AM_2021_4|TOT_SEL_AM_2021_4|LA_XPO_AM_2022_1|DME_AM_2022_1|TOT_SEL_AM_2022_1|LA_XPO_AM_2022_2|DME_AM_2022_2|TOT_SEL_AM_2022_2|LA_XPO_AM_2022_3|DME_AM_2022_3|TOT_SEL_AM_2022_3|LA_XPO_AM_2022_4|DME_AM_2022_4|TOT_SEL_AM_2022_4|LA_XPO_AM_2023_1|DME_AM_2023_1|TOT_SEL_AM_2023_1|LA_XPO_AM_2023_2|DME_AM_2023_2|TOT_SEL_AM_2023_2|LA_XPO_AM_2023_3|DME_AM_2023_3|TOT_SEL_AM_2023_3|LA_XPO_AM_2023_4|DME_AM_2023_4|TOT_SEL_AM_2023_4|LA_XPO_AM_2024_1|DME_AM_2024_1|TOT_SEL_AM_2024_1|LA_XPO_AM_2024_2|DME_AM_2024_2|TOT_SEL_AM_2024_2|LA_XPO_AM_2024_3|DME_AM_2024_3|TOT_SEL_AM_2024_3|LA_XPO_AM_2024_4|DME_AM_2024_4|TOT_SEL_AM_2024_4|LA_XPO_AM_2025_1|DME_AM_2025_1|TOT_SEL_AM_2025_1|LA_XPO_AM_2025_2|DME_AM_2025_2|TOT_SEL_AM_2025_2|LA_XPO_AM_2025_3|DME_AM_2025_3|TOT_SEL_AM_2025_3|LA_XPO_AM_2025_4|DME_AM_2025_4|TOT_SEL_AM_2025_4|
가상_사업자번호|여신수출금액 _2021_1분기|내수금액_2021_1분기|총판매금액_2021_1분기|여신수출금액 _2021_2분기|내수금액_2021_2분기|총판매금액_2021_2분기|여신수출금액 _2021_3분기|내수금액_2021_3분기|총판매금액_2021_3분기|여신수출금액 _2021_4분기|내수금액_2021_4분기|총판매금액_2021_4분기|여신수출금액 _2022_1분기|내수금액_2022_1분기|총판매금액_2022_1분기|여신수출금액 _2022_2분기|내수금액_2022_2분기|총판매금액_2022_2분기|여신수출금액 _2022_3분기|내수금액_2022_3분기|총판매금액_2022_3분기|여신수출금액 _2022_4분기|내수금액_2022_4분기|총판매금액_2022_4분기|여신수출금액 _2023_1분기|내수금액_2023_1분기|총판매금액_2023_1분기|여신수출금액 _2023_2분기|내수금액_2023_2분기|총판매금액_2023_2분기|여신수출금액 _2023_3분기|내수금액_2023_3분기|총판매금액_2023_3분기|여신수출금액 _2023_4분기|내수금액_2023_4분기|총판매금액_2023_4분기|여신수출금액 _2024_1분기|내수금액_2024_1분기|총판매금액_2024_1분기|여신수출금액 _2024_2분기|내수금액_2024_2분기|총판매금액_2024_2분기|여신수출금액 _2024_3분기|내수금액_2024_3분기|총판매금액_2024_3분기|여신수출금액 _2024_4분기|내수금액_2024_4분기|총판매금액_2024_4분기||여신수출금액 _2025_1분기|내수금액_2025_1분기|총판매금액_2025_1분기|여신수출금액 _2025_2분기|내수금액_2025_2분기|총판매금액_2025_2분기|여신수출금액 _2025_3분기|내수금액_2025_3분기|총판매금액_2025_3분기|여신수출금액 _2025_4분기|내수금액_2025_4분기|
1000000050|34782|1189312|1224094|69125|2674657|2743782|97490|4041262|4138752|133627|5567485|5701112|54094|1140933|1195027|126217|2636799|2763016|270445|3853213|4123658|570941|5373390|5944331|282111|1139173|1421284|572916|2494177|3067093|908260|3966540|4874800|1227534|5583571|6811105|174626|1720460|1895086|0|4000861|4000861|448354|5580070|6028424|603739|7259499|7863238|66580|1726871|1793451|0|3748513|3748513|0|5837245|5837245|0|7909901|7909901|
1000000088|0|1319968|1319968|0|2715289|2715289|0|4382431|4382431|0|6316436|6316436|0|1766530|1766530|0|3643630|3643630|0|5598708|5598708|0|7812755|7812755|0|1563418|1563418|0|3139319|3139319|0|4636807|4636807|0|6357089|6357089|0|1604739|1604739|0|3209127|3209127|0|4749220|4749220|0|6570413|6570413|0|1665840|1665840|0|3359665|3359665|0|4995796|4995796|0|6929499|6929499|
1000000169|9396437|11603417|20999854|6645912|19680907|26326819|9524739|27957413|37482152|14258317|24058069|38316386|4442666|6147319|10589985|8757408|12492372|21249780|13125241|17628895|30754136|17193154|23830142|41023296|3529618|7365266|10894884|7124212|14892176|22016388|10757799|22402919|33160718|14486174|27320419|41806593|3807501|6787094|10594595|7746085|13630964|21377049|11653058|20610415|32263473|14807995|27680099|42488094|3685792|6628304|10314096|6667874|19762589|26430463|10465460|29635768|40101228|14542346|39129857|53672203|
1000000223|245635|65293|310928|599196|152737|751933|944307|216380|1160687|1294595|282517|1577112|335352|81222|416574|688387|169720|858107|1012079|232842|1244921|1300431|301343|1601774|300217|43387|343604|633477|56959|690436|928829|77202|1006031|1212751|99025|1311776|289516|6630|296146|649066|-9887|639179|998238|-18940|979298|1300349|5425|1305774|311991|7123|319114|678398|-10580|667818|1054596|-32297|1022299|1442059|-46503|1395556|
1000000245||||||||||0|33393|33393||||||||||0|33341|33341||||||||||0|34122|34122||||||||||0|32746|32746||||||||||0|28867|28867|
1000000263|60656|245723|306379|134286|570803|705089|210043|837905|1047948|296147|1155738|1451885|103838|497433|601271|254700|965170|1219870|394335|1321075|1715410|465895|1703671|2169566|105271|383109|488380|170970|700838|871808|260225|943941|1204166|0|1588078|1588078|74682|341049|415731|0|819789|819789|241642|904663|1146305|0|1519110|1519110|0|437663|437663|0|863856|863856|0|1224186|1224186|365497|1234749|1600246|
1000000273|251|62607|62858|747|120676|121423|1322|178987|180309|1773|261170|262943|200|74082|74282|510|149930|150440|943|226940|227883|1391|312855|314246|265|78316|78581|533|147702|148235|830|218906|219736|1270|310419|311689|291|71210|71501|557|141276|141833|935|220569|221504|2051|311599|313650|714|71359|72073|1198|140730|141928|1612|218312|219924|2038|304199|306237|
1000000282|0|122330|122330|0|216710|216710|0|345683|345683|347759|15740|363499|0|140471|140471|0|306561|306561|0|477281|477281|0|642920|642920|136969|4919|141888|0|335807|335807|0|502021|502021|0|675333|675333|0|199610|199610|335605|6956|342561|0|610763|610763|0|836867|836867|205078|4526|209604|0|493909|493909|0|790042|790042|0|1088025|1088025|
1000000284|2787610|2557176|5344786|6560353|5495454|12055807|10532176|8640641|19172817|15084793|12379125|27463918|5080428|4206616|9287044|11418136|9311313|20729449|17685638|14166426|31852064|23370887|19075141|42446028|4825217|4252418|9077635|8783229|8113997|16897226|13510566|12386215|25896781|18970399|16756295|35726694|5062744|4245745|9308489|10195912|8683415|18879327|15141662|12578288|27719950|19951792|16685239|36637031|4955602|4034931|8990533|9385173|7653864|17039037|14056545|11397859|25454404|18921786|15325171|34246957|
