V_BZNO|BAS_YM|FC_AM1|LA_INSP_KRW_AM1|FC_AM2|LA_INSP_KRW_AM2|FC_AM3|LA_INSP_KRW_AM3|FC_AM4|LA_INSP_KRW_AM4|LA_INSP_KRW_AM5|
가상_사업자번호|기준년월 |미국_외화|미국_원화|일본_외화|일본_원화|중국_외화|중국_원화|유럽_외화|유럽_원화|계_원화|
1000000001|202112|0|923370|||||0|160|923533|
1000000001|202212|0|1061968|||||0|349|1062333|
1000000001|202312|0|1125441|||||0|892|1126381|
1000000001|202412|0|1431060|0|184|||0|1922|1433210|
1000000002|202112|862741000|1022779|895102000|9222|||351327000|471600|1503975|
1000000002|202212|985492000|1248914|58021000|553|||384219000|519156|1768635|
1000000002|202312|953925000|1229991|260000|2|||379509000|541404|1808704|
1000000002|202412|897189000|1318869|228260000|2138|||271722000|415390|1778820|
1000000006|202112|0|36648|0|22416|||0|13909|73002|
1000000006|202212|0|52180|0|2626|||0|24515|79398|
1000000006|202312|0|38756|0|368|||0|22559|61690|
1000000006|202412|0|38098|0|1256|||0|17821|57180|
1000000010|202106|0|129931|||||0|92|130026|
1000000010|202206|0|145307|||||0|34|145341|
1000000010|202306|0|124894|||||0|304|125240|
1000000010|202406|0|149908|||||0|186|150138|
1000000010|202506|0|133609|||0|5577|0|128|139345|
1000000011|202212|40454510|51268|||||||51268|
1000000011|202312|42541856|54853|||||||54853|
1000000011|202412|37775204|55530|||||||55530|
1000000012|202112|62370000|73940|393527000|4054|||124000|167|78537|
1000000012|202212|46886000|59419|425562000|4056|||102000|138|63868|
1000000012|202312|0|69|0|19|||||88|
1000000012|202412|32214000|47355|45631000|427|1000|0|414000|633|48739|
1000000013|202112|0|60|||||0|10|167|
1000000013|202212|0|72|||||0|41|123|
1000000013|202312|0|196|||||0|57|256|
1000000013|202412|0|127|||||0|26|164|
1000000014|202112|0|3149|||||||3149|
1000000014|202212|0|3334|||||||3334|
1000000014|202312|6632712|8552|||||32485|46|8598|
1000000014|202412|9006088|13239|||||||13239|
