V_BZNO|1_ST_DT|1_ED_DT|1_CRI_GRDNM|2_ST_DT|2_ED_DT|2_CRI_GRDNM|3_ST_DT|3_ED_DT|3_CRI_GRDNM|4_ST_DT|4_ED_DT|4_CRI_GRDNM|5_ST_DT|5_ED_DT|5_CRI_GRDNM|6_ST_DT|6_ED_DT|6_CRI_GRDNM|7_ST_DT|7_ED_DT|7_CRI_GRDNM|
가상_사업자번호|등급적용시작일자 _2020|등급적용종료일자 _2020|CRI등급_2020|등급적용시작일자 _2021|등급적용종료일자 _2021|CRI등급_2021|등급적용시작일자 _2022|등급적용종료일자 _2022|CRI등급_2022|등급적용시작일자 _2023|등급적용종료일자 _2023|CRI등급_2023|등급적용시작일자 _2024|등급적용종료일자 _2024|CRI등급_2024|등급적용시작일자 _2025|등급적용종료일자 _2025|CRI등급_2025|등급적용시작일자 _2026|등급적용종료일자 _2026|CRI등급_2026|
1000000001|20200325|20210323|BB0|20210323|20220317|B+|20220317|20230317|BB0|20230317|20240317|BB0|20240317|20250318|BB+|20250318|20260314|BB0|20260314|20280101|BB+|
1000000002|20200401|20210326|BBB-|20210326|20220322|BBB0|20220322|20230318|BBB0|20230318|20240328|BBB-|20240328|20250320|BB-|20250320|20260319|BB0|20260319|20280101|BB+|
1000000003|20200505|20210423|BBB-|20210423|20220419|BB0|20220419|20230421|BB-|20230421|20240414|BB+|20240414|20250412|B0|20250412|20260408|BB-|20260408|20280101|BBB-|
1000000004|20200320|20210330|BB+|20210330|20220329|BBB-|20220329|20230324|BBB-|20230324|20240402|BB0|20240402|20250319|BB-|20250319|20260319|BB-|20260319|20280101|B+|
1000000006|20200326|20210402|BB-|20210402|20220324|BBB-|20230328|20230429|BBB0|||||||||||||
1000000007|20200428|20210430|BBB-|20210430|20220422|BBB-|20220422|20230405|BB+|20230405|20240330|BB+|20240330|20250415|BB-|20250415|20260402|BB-|20260402|20280101|B+|
1000000008|20200327|20210402|B+|20210402|20220318|B0|20230119|20230405|B0|20230405|20240328|BB-|20240328|20250319|BB-|20250319|20260319|BB-|20260319|20280101|BB-|
1000000009|20200401|20210417|BB0|20210417|20220401|BBB+|20220401|20230407|BB-|20230407|20240410|BBB0|20240410|20250401|A0|20250401|20260326|A-|20260326|20280101|A-|
1000000010|20200922|20210924|BB+|20210924|20220922|BBB-|20220922|20230921|BBB-|20230921|20240924|BBB+|20240924|20250925|BBB+|20250925|20270701|BBB0||||
1000000011|20200402|20210430|BBB-|20210430|20220422|BBB0|20220422|20230419|BBB0|20230419|20240419|BBB-|20240419|20250422|BBB+|20250422|20260416|BBB0|20260416|20280101|BBB+|
1000000012|20200320|20210325|BBB-|20210325|20220323|BBB0|20220323|20230317|BBB0|20230317|20240314|BBB-|20240314|20250319|BBB-|20250319|20260317|BB+|20260317|20280101|BB+|
1000000013|20200321|20210413|A0|20210413|20220319|BB0|20220319|20230315|BBB-|20230315|20240312|A0|20240312|20250312|BBB+|20250312|20260313|A+|20260313|20280101|A0|
1000000014|20200401|20210326|BBB0|20210326|20220318|BBB0|20220318|20230319|BBB0|20230319|20240330|BBB-|20240330|20250321|BBB-|20250321|20260322|BB+|20260322|20280101|BB+|
1000000015|20200317|20210413|BBB0|20210413|20220324|BBB+|20220324|20230319|BBB0|20230319|20240322|BBB-|20240322|20250318|BBB+|20250318|20260319|BBB+|20260319|20280101|BB+|
1000000016|20200318|20210323|BBB+|20210323|20220317|BBB+|20220317|20230316|BB-|20230316|20240314|BB0|20240314|20250325|B+|20250325|20260319|B0|20260319|20280101|B+|
1000000017|20201125|20210413|B+|20210413|20220406|B+|20220406|20230404|B+|20230404|20240410|B+|20240410|20250409|BB0|20250409|20260404|BB0|20260404|20280101|BB+|
1000000019|20200415|20210410|BBB-|20210410|20220405|BBB+|20220405|20230405|BBB+|20230405|20240403|BBB+|20240403|20250409|BB+|20250409|20260403|BBB0|20260403|20280101|BB+|
1000000020|20200416|20210403|B0|20210403|20220410|BB-|20220410|20230415|B0|20230415|20240413|B+|20240413|20250402|B+|20250402|20260407|BB-|20260407|20280101|BB-|
1000000022|20200321|20210312|BB0|20210312|20220319|BBB-|20220319|20230317|BBB-|20230317|20240315|BBB+|20240315|20250322|BB0|20250322|20260318|BB+|20260318|20280101|BB+|
1000000023|20200318|20210320|BB+|20210320|20220318|BBB0|20220318|20230402|BB+|20230402|20240315|BBB-|20240315|20250315|BBB0|20250315|20260313|BB0|20260313|20280101|BB-|
1000000024|20200319|20210323|BBB+|20210323|20220318|BBB-|20220318|20230316|BBB-|20230316|20240323|BB+|20240323|20250320|BBB-|20250320|20260317|B0|20260317|20280101|BB0|
1000000025|20200321|20210414|BB-|20210414|20220329|BB+|20220329|20230404|BBB0|20230404|20240405|BB+|20240405|20250403|BB0|20250403|20260402|BB-|20260402|20280101|B+|
1000000026|20200326|20210410|BB0|20210410|20220324|BB0|20220324|20230330|BBB0|20230330|20240330|BB-|20240330|20250328|BBB-|20250328|20260324|B+|20260324|20280101|BB0|
1000000027|20200404|20210415|BB0|20210415|20220408|BBB-|20220408|20230421|BB-|20230421|20240413|B0|20240413|20250414|B+|20250414|20260412|B+|20260412|20280101|BB-|
1000000028|20200418|20210410|BB-|20210410|20220422|BB0|20220422|20230420|BBB-|20230420|20240416|BB-|20240416|20250416|BBB-|20250416|20260415|BBB0|20260415|20280101|BB+|
1000000029|20200407|20210330|A-|20210330|20220323|BBB+|20220323|20230321|A-|20230321|20240321|BBB+|20240321|20250318|BBB0|20250318|20260314|BBB+|20260314|20280101|A-|
1000000030|20200327|20210402|BB+|20210402|20220324|BBB-|20220324|20230324|BBB-|20230324|20240322|BBB0|20240322|20250319|BBB0|20250319|20260318|BBB0|20260318|20280101|BBB0|
1000000031|20200328|20210324|BB-|20210324|20220320|BB+|20220320|20230314|BBB+|20230314|20240319|BBB+|20250314|20251115|BB+|20251115|20260315|BBB-|20260315|20280101|B+|
1000000032|20200414|20210421|BBB+|20210421|20220418|BBB+|20220418|20230414|BBB+|20230414|20240412|A0|20240412|20250405|AA-|20250405|20260411|AA-|20260411|20280101|A+|
1000000033|20200409|20210407|B0|20210407|20220331|BB0|20220331|20230418|BB-|20230418|20240410|BB+|20250409|20250423|BBB0|20250423|20260414|BBB-|20260414|20280101|BBB0|
1000000034|20201006|20211027|B+|20211027|20220923|B+|20220923|20240413|BB+|20240413|20250413|BB+|20250413|20260407|BB-|20260407|20280101|BB-||||
1000000035|20200317|20210324|BBB0|20210324|20220322|BBB0|20220322|20230317|BBB0|20230317|20240314|BBB0|20240314|20250318|BBB-|20250318|20260318|BBB0|20260318|20280101|BBB-|
