V_BZNO|KIS_LS_FNA_MKS_2021|KIS_LS_FNA_MKS_2022|KIS_LS_FNA_MKS_2023|KIS_LS_FNA_MKS_2024|KIS_LS_FNA_MKS_2025|
가상_사업자번호|최종재무평점_2021|최종재무평점_2022|최종재무평점_2023|최종재무평점_2024|최종재무평점_2025|
1000000040|5|4|4|4|4|
1000000047|6|5|6|6|4|
1000000050|5|6|6|7|7|
1000000075|2|3|3|2|4|
1000000088|4|4|4|4|4|
1000000091|8|||||
1000000159|6|4|5|6|5|
1000000163|4|4|4|4|5|
1000000169|4|4|4|4|4|
1000000212|6|7|7|8|8|
1000000223|4|4|4|5|5|
1000000245|4|4|4|4|6|
1000000263|4|6|4|4|4|
1000000273|4|4|4|4|4|
1000000282|5|4|4|4|4|
1000000284|4|4|4|5|5|
1000000286|4|4|4|4|4|
1000000288|6|6|5|4|5|
1000000308|4|4|5|4||
1000000348|6|6|6|8|7|
1000000361|2|3|2|3|3|
1000000446|5|5|5|4|4|
1000000475|4|4|6|6|6|
1000000493|5|3|2|3|4|
1000000548|4|4|4|||
1000000551|4|4|6|5|5|
1000000576|5|5|5||5|
1000000591||4|4|4|4|
1000000599|||5|5||
1000000639|4|5|6|5|4|
1000000674|6|6|6|7|7|
1000000691|5|||||
1000000724|6|4|4|4|3|
1000000728|4|6|5|4|4|
1000000769|5|4|4|||
1000000774|5|4|5|4|4|
1000000791|4|4|4|4|4|
1000000817|7|8|6||8|
1000000823|5|5|5|5|4|
1000000835||4||3||
1000000849|5|7|4|4|4|
1000000860|4|4|4|4|4|
1000000887|6|6|6|8|7|
1000000888|9|10||||
1000000892|4|3|3|4|3|
1000000896|5|4|6|6|6|
1000000923||5|6|6||
1000000938|6|6|5|5|6|
1000000942|4||6|5||
1000000975|5|6|7|5|6|
1000001033|4|5|5|5|5|
1000001034|4|||4||
1000001058|4|4|4|4|4|
1000001074|5|5|5|7|6|
1000001083|6|5|4|5|6|
1000001129|5|5|5|4|5|
1000001133|6|7|9|||
1000001138|3|3|4|4|3|
1000001170|6|5|6|6|7|
1000001176||5|5|5|5|
1000001196|5|7|7|8|7|
1000001219|||7|6|7|
1000001284||6||6||
1000001286|5|5|4|5||
1000001314|4|4|4|4|4|
1000001347|4|4|3|6|6|
1000001353|4|6|6|5|4|
1000001362||4||4||
1000001388|4|||||
1000001421|5||5|5||
1000001444|5|4|5|5||
1000001482|8|7|7|6||
1000001483|4|3|4|4|4|
1000001499|4|4|4|4|4|
1000001501|4|5|6|9|8|
1000001512|10|10||||
1000001548|4|4||||
1000001558|4|4|4|||
1000001559|||6|6|6|
1000001569|4|5||5||
1000001573|5|5|4|5|5|
1000001637|7|6|8|6||
1000001660|6|7|7|7|5|
1000001665|8|8|9|8|9|
1000001699|6|6|8|8|8|
1000001705|3|5|5|6|6|
1000001745|5|5||4|4|
1000001814|3|3|4|4|3|
1000001824|5|5|5|4|4|
1000001829|5|7|9|9|8|
1000001845|3|||||
1000001848||4||4||
1000001851|4|5|6|5||
1000001852|5|5|4|4|4|
1000001856|5|6|7|7|8|
1000001860|4|8|6|5||
1000001861|6|6|6|8|9|
1000001867|6|3|3|4|3|
1000001871||8|7|6|5|
1000001877|3|3|3|3|3|
1000001884|6|5|5|5||
1000001890|3|3|3|3|3|
1000001894|8|7|6|7|7|
1000001895|8|8|8|||
1000001900|4|6|6|6|7|
1000001984|9|7|9|8||
1000001996|5|6|7|8|8|
1000002001|6|7|8|9|8|
1000002050||6|4|5||
1000002060|5||5|||
1000002075|9|9||||
1000002080|7|||||
1000002097|5|4|5|5|5|
1000002104|5|6|6|5|7|
1000002112|5|5|5|5|5|
1000002169|6|5|6|7||
1000002173|8|6|8|7|6|
1000002185|8|8|8|8|8|
1000002223|5|5||||
1000002236|3|2|3|2|2|
1000002252||5|5|6||
1000002254|3|3|3|3|3|
1000002269|4|4|5|4|5|
1000002290|4|4|4|4|4|
1000002305|4|3|3|4|4|
1000002311|8|8||||
1000002328|6|6|6|6|6|
1000002353|3|4|3|3|3|
1000002377|4|4|4|5|4|
1000002404|4|4|4|5|4|
1000002435|4|4||||
1000002437|7|8|8|8|8|
1000002441|5|4|4|5||
1000002449|2|3|2|3|3|
1000002465|2|3|4|4|4|
1000002467|4|4|4|||
1000002468|4|5|4|4||
1000002473|5|4|4|4||
1000002487|3|3|3|3|4|
1000002525|6|6|6|7|7|
1000002548|6|6|6|6|6|
1000002552|4|4|5|4|4|
1000002553|6|6|6|8||
1000002579|5|4||||
1000002582|4||5|4|5|
1000002592|4|4|4|5||
1000002607|4|5|3|3|4|
1000002611||4||4||
1000002642|4|4|5|||
1000002679||||4||
1000002690|5||4|||
1000002707|6||5|6|5|
1000002712|8|8|8|9|9|
1000002718|7|5|5|6|6|
1000002724|6|7|6|5|5|
1000002794|4|4|5|6|4|
1000002799|6|5||||
1000002819|4|4||4||
1000002826|6|6|6||5|
1000002829|2|3|4|3|3|
1000002884|6|6|6|8|8|
1000002887|3|3|4|3||
1000002888|8|9||||
1000002889|5|5|6|6|6|
1000002929|4|4||8||
1000002934||5|5|5|5|
1000002969|4|4|4|5|5|
1000002971|5|6|6|5|5|
1000002975||6||||
1000002976|5|6|6|8|8|
1000003026||5|6|||
1000003039|9||9|10||
1000003040|4|4||3||
1000003041|3|3|2|2|2|
1000003044||4|||5|
1000003047|6|5|5|5|6|
1000003055|7|8|9|9|8|
1000003069|4||4||5|
1000003085|4|5|4|4|4|
1000003091|||||5|
1000003104|5||4|5||
1000003131|2|2|2|5|5|
1000003187|6|7|8|8|9|
1000003205|7|4|5|5|5|
1000003240|5|4|9|9||
1000003267|6|6|8|6|6|
1000003301|6|6|5|6|6|
1000003314||5|5|5||
1000003326|8|6|6|9||
1000003332|6|6|7|7||
1000003352|5|3|4|5|4|
1000003358|5|5|5|4|4|
1000003370|4||4|||
1000003377|5|5|6|5|9|
1000003380|9|8|8|8|8|
1000003418|4|5|6|5|5|
1000003438|4|6|6|7|6|
1000003440|4||4|4||
1000003442|3|3|3|5|5|
1000003461|4|3|4|4||
1000003463|6|6|6|8||
1000003466|4|4|4|4|4|
1000003480|5|4||4||
1000003483|6|6|6|6|6|
1000003497|5|4|5|||
1000003517|3|3|3|3||
1000003519|||5|||
1000003530|6|5|5|5|5|
1000003538|6|6|6|5|5|
1000003542|8|8|8|8|3|
1000003543|4|4|4|5|5|
1000003544|8|8|9|||
1000003546|5|6|6|6|6|
1000003554|3|5||||
1000003567|8|8|8|8|8|
1000003583|8|6|8|6|6|
1000003608|5|5|5|6|8|
1000003621|4|4|3|4|3|
1000003622|5|6|6|6|7|
1000003626|||5|||
1000003642|4|||||
1000003651|||6|6||
1000003696||5|6|||
1000003709|6|6|5|4|4|
1000003714|4|4|6|6||
1000003729||9|8|||
1000003737|5|4|4|4|4|
1000003752|5|4|4|4||
1000003768|5|5|6|7|6|
1000003787|5|5|5|4|6|
1000003834|5||6|7||
1000003862|6|7|||6|
1000003865|||5|5||
1000003869|5|6|5|5||
1000003871|4|4|4|3|4|
1000003897|4|5|5|5|4|
1000003911|4|4|6|6|7|
1000003913||5|4|4||
1000003918|7|8|10|||
1000003926|3|3|3|3|3|
1000003965|6|5|5|6|5|
1000004004|7|7|7|9||
1000004009|6|5|6|5||
1000004035|4|3|4|3|3|
1000004040||||6||
1000004046|6|6||6|6|
1000004057|6|6|6|5||
1000004070|5|8||||
1000004097|5|4|4|4|3|
1000004098|5|5|5|6||
1000004099|9|9|10|||
1000004102|7|8|8|8|9|
1000004129|4|4|5|4|8|
1000004130|5|||||
1000004145|6|6|8|5||
1000004156|7|8|8|8|9|
1000004180||||4||
1000004195|4|4|4|5|4|
1000004247|5|6||8||
1000004311|||6|8||
1000004320||7|7|9||
1000004338|8|7|8|9||
1000004353|6|7|8|6|6|
1000004366|4|4|4|5|4|
