V_BZNO|CRDEVL_PTTP_DSC_2021|LS_NICS_GRDC_2021|CRDEVL_PTTP_DSC_2022|LS_NICS_GRDC_2022|CRDEVL_PTTP_DSC_2023|LS_NICS_GRDC_2023|CRDEVL_PTTP_DSC_2024|LS_NICS_GRDC_2024|CRDEVL_PTTP_DSC_2025|LS_NICS_GRDC_2025|
가상_사업자번호|신용평가모형구분코드_2021|NICS등급코드_2021|신용평가모형구분코드_2022|NICS등급코드_2022|신용평가모형구분코드_2023|NICS등급코드_2023|신용평가모형구분코드_2024|NICS등급코드_2024|신용평가모형구분코드_2025|NICS등급코드_2025|
1000000001|11|3|11|4|11|4|11|4|11|4|
1000000002|11|6|11|6|11|6|11|6|11|6|
1000000003|||||||11|10|11|9|
1000000004|11|4|11|4|11|4|11|4|11|4|
1000000006|11|4|11|4|11|4|11|4|11|4|
1000000007|||||11|5|11|5|11|6|
1000000008|11|8|11|10|11|10|11|8|11|7|
1000000009|||||12|7|12|5|12|4|
1000000010|11|8|11|6|11|5|11|5|11|5|
1000000011|11|3|11|4|11|4|11|4|11|4|
1000000012|11|7|11|6|11|6|11|6|11|6|
1000000013|11|5|11|4|11|4|11|3|11|3|
1000000014|11|4|11|4|11|5|11|5|11|5|
1000000015|11|1|11|1|11|1|11|2|11|2|
1000000016|11|2|11|2|11|3|11|4|11|5|
1000000017|||||||||||
1000000019|11|8|11|7|11|7|11|7|11|7|
1000000020|12|8|12|9|12|9|12|9|11|8|
1000000022|11|6|11|6|11|4|11|5|11|5|
1000000023|11|6|11|6|11|6|11|6|11|6|
1000000024|11|7|11|7|11|7|11|7|11|9|
1000000025|12|8|12|6|11|6|11|7|12|13|
1000000026|11|6|11|6|11|6|11|6|11|7|
1000000027|11|2|11|4|11|6|11|6|11|8|
1000000028|11|3|11|3|11|3|11|3|11|3|
1000000029|11|3|11|3|11|3|11|3|11|3|
1000000030|11|4|11|4|11|4|11|4|11|4|
1000000031|||11|8|11|8|11|8|||
1000000032|||12|5|||||||
1000000033|12|10|12|13|12|13|12|13|||
1000000034|||||12|9|12|9|12|10|
1000000035|11|4|11|4|11|4|11|4|11|4|
1000000036|12|14|12|14|12|16|||||
1000000037|11|10|11|8|11|8|11|8|11|7|
1000000038|||11|17|||||||
