V_BZNO|CONM|ETB_DT|COPR_OPNP_C|BZSCAL_C|EMPCN|STD_INDS_CFC|
가상_사업자번호|업체명|설립일|기업공개코드|기업규모코드|종업원수|업종코드|
1000000001|테스트1|19700702|10|2|10032|47111|
1000000002|테스트2|19691219|10|2|4960|41220|
1000000003|테스트3|19691022|30|2|21|68122|
1000000004|테스트4|19521028|10|2|3492|20494|
1000000005|테스트5||||0|20494|
1000000006|테스트6|19690416|10||712|64992|
1000000007|테스트7|19661104|30|2|1051|24222|
1000000008|테스트8|19540301|10||507|30399|
1000000009|테스트9|19500101|10||18|64992|
1000000010|테스트10|19680111|30||1113|46742|
1000000011|테스트11|19560508|30||241|10902|
1000000012|테스트12|19580310|10|2|1673|49309|
1000000013|테스트13|19680220|10|2|3400|52939|
1000000014|테스트14|19541125|10|6|305|20129|
1000000015|테스트15|19521225|10||400|10512|
1000000016|테스트16|19491125|10|2|777|24210|
1000000017|테스트17|19670808|20|1|1726|55101|
1000000018|테스트18|19700305|30|2|2644|55101|
1000000019|테스트19|19681219|29||232|41000|
1000000020|테스트20|19620214|30|2|230|22199|
1000000021|테스트21|19500323|20|2|0||
1000000022|테스트22|19531126|10|2|412|46109|
1000000023|테스트23|19660820|10||504|26299|
1000000024|테스트24|19690124|10|6|1138|41112|
1000000025|테스트25|19671228|10|2|221|46452|
1000000026|테스트26|19550825|10||483|23322|
1000000027|테스트27|19621222|30|6|224|20202|
1000000028|테스트28|19641101|30|2|435|20321|
1000000029|테스트29|19660707|10||848|35200|
1000000030|테스트30|19301115|10|2|6821|49300|
1000000031|테스트31|19590903|10|2|471|41112|
1000000032|테스트32|19680730|30|4|36|68112|
1000000033|테스트33|19460720|30|4|32|28112|
1000000034|테스트34|19730728|30||38|15211|
1000000035|테스트35|19500110|10|2|6820|41000|
1000000036|테스트36|19571125|15||307|21212|
1000000037|테스트37|19681212|10|2|176|50112|
1000000038|테스트38|19510829|29|2|287|41112|
1000000039|테스트39|19690117|10|2|310|20111|
1000000040|테스트40|19700129|30|4|97|23192|
1000000041|테스트41|19631111|10|6|1589|21210|
1000000042|테스트42|19410314|10||84|21212|
1000000043|테스트43|19191005|10||206|47119|
1000000044|테스트44|19200401|30|2|620|58121|
1000000045|테스트45|19330809|10||11|64992|
1000000046|테스트46|19331208|10|2|1732|26221|
1000000047|테스트47|19580304|30|4|69|10512|
1000000048|테스트48|19580411|10||4255|22110|
1000000049|테스트49|19460409|10|6|898|20421|
1000000050|테스트50|19590203|30|2|3631|41000|
1000000051|테스트51|19700926|92|4|2119|68212|
1000000052|테스트52|19700926|30||2617|74100|
1000000053|테스트53|19461015|30|4|8|55101|
1000000054|테스트54|19530801|10|2|64|64992|
