V_BZNO|CRINF_RLR_DSC|CRDBD_RSNC|CRDBD_OCU_YY|SUM(CRDBD_RSN_AM)|SUM(CRDBD_OVD_AM)|MAX(CRDBD_RLS_OCU_DT)|MAX(CRDBD_RLS_RSNC)|
가상_사업자번호|신용정보관련인구분코드 |신용불량사유코드 |신용불량발생일자 |신용불량사유금액 |신용불량연체금액 |신용불량해제발생일자 |신용불량해제사유코드 |
1000000036|7|101|202508|8862957|6854861|20260327|99|
1000000036|7|105|202508|56390|0|20260407|1|
1000000091|7|101|202205|148060|147923|0|0|
1000000091|7|104|202205|3061|3031|0|0|
1000000091|7|101|202206|400000|161544|0|0|
1000000261|7|101|202504|7542187|7542187|0|0|
1000000261|7|101|202505|201666|201666|0|0|
1000000312|7|101|202508|6529725|5955314|20260126|99|
1000000312|7|101|202509|4191551|4191551|20251230|12|
1000000346|7|201|202507|91071|91071|0|0|
1000000346|7|101|202508|810574|810574|20260511|12|
1000000346|7|201|202508|164067|164067|0|0|
1000000346|7|201|202509|119510|119510|0|0|
1000000346|7|201|202510|448039|448039|20260511|12|
1000000346|7|101|202512|355000|355000|0|0|
1000000374|7|101|202405|491750|467407|0|0|
1000000374|7|101|202406|512500|27983|0|0|
1000000407|7|104|202508|48288|48288|0|0|
1000000407|7|104|202512|5220|5220|0|0|
1000000417|7|101|202408|724335|541131|0|0|
1000000417|7|104|202408|14788|14788|0|0|
1000000417|7|104|202409|1952|1952|0|0|
1000000417|7|104|202410|4998|4998|0|0|
1000000470|7|101|202308|247500|19067|0|0|
1000000470|7|101|202309|149000|22174|0|0|
1000000470|7|202|202309|534079|534079|0|0|
1000000470|7|101|202310|198000|29700|0|0|
1000000562|7|101|202603|29574589|29574589|0|0|
1000000613|7|101|202304|1845729|1136116|0|0|
1000000613|7|104|202304|177691|138980|20250530|1|
1000000613|7|101|202305|2608338|2514637|0|0|
1000000613|7|106|202305|20743|20743|0|0|
1000000613|7|101|202306|1225451|16146|0|0|
1000000613|7|101|202307|549720|402|0|0|
1000000613|7|101|202308|190|190|0|0|
1000000613|7|104|202308|85207|36608|20250926|6|
1000000613|7|101|202309|655311|646911|0|0|
1000000613|7|106|202503|19|19|0|0|
1000000625|7|101|202504|3225|2934|0|0|
1000000631|7|101|202103|2693322|353046|0|0|
1000000631|7|101|202104|3503085|3165582|0|0|
1000000631|7|101|202106|1880000|1832432|0|0|
1000000631|7|202|202107|2213484|2213484|0|0|
1000000631|7|101|202109|5406143|4853960|0|0|
1000000663|7|101|202512|480166|480166|0|0|
1000000663|7|101|202601|162000|162000|0|0|
1000000673|7|101|202603|321600|321600|0|0|
1000000673|7|101|202604|252417|252417|0|0|
1000000677|7|104|202307|74064|74064|0|0|
1000000677|7|101|202308|1075000|70711|0|0|
1000000677|7|104|202308|16937|16937|0|0|
1000000677|7|101|202309|240000|240000|0|0|
1000000677|7|104|202309|6959|6959|0|0|
1000000677|7|101|202310|342000|212247|0|0|
1000000677|7|202|202310|116643|116643|0|0|
1000000677|7|101|202311|66726|66726|0|0|
1000000677|7|201|202510|37167|37167|0|0|
1000000806|7|104|202505|816933|815613|0|0|
1000000806|7|101|202509|4541079|3801946|0|0|
1000000806|7|101|202510|895474|247474|0|0|
1000000806|7|101|202511|331514|331514|0|0|
1000000888|7|101|202401|89500|89500|0|0|
1000000888|7|104|202401|36173|36173|0|0|
1000000888|7|104|202402|2888|2888|0|0|
1000000897|7|101|202502|3025149|3015224|0|0|
1000000897|7|104|202502|46868|24325|20260312|3|
1000000897|7|105|202502|19462|19462|0|0|
1000000897|7|101|202503|640452|640452|0|0|
1000000897|7|101|202506|634669|380000|0|0|
1000000897|7|106|202508|7|7|0|0|
1000000897|7|101|202512|254667|254667|0|0|
1000000916|7|101|202504|798073|270916|0|0|
1000000916|7|101|202505|636000|357200|0|0|
1000000991|7|101|202301|136900|20535|20251128|16|
1000000991|7|101|202302|96950|22160|0|0|
1000000991|7|202|202303|416681|415805|0|0|
1000001001|7|101|202412|32000|32000|0|0|
1000001023|7|101|202409|5526181|495664|0|0|
1000001023|7|101|202410|190000|1|0|0|
1000001023|7|101|202503|103336|103336|0|0|
1000001023|7|101|202504|74119|74119|0|0|
1000001023|7|101|202505|78818|78818|0|0|
1000001040|7|101|202507|286182|286182|0|0|
1000001040|7|101|202508|573546|573546|0|0|
1000001040|7|101|202509|2755668|2755668|0|0|
1000001040|7|101|202510|3918674|3512955|0|0|
1000001040|7|104|202510|48416|48416|0|0|
1000001040|7|101|202511|73254|73254|0|0|
1000001040|7|101|202512|2562753|2562753|0|0|
1000001040|7|201|202512|101613|101613|0|0|
1000001040|7|101|202601|1537840|1537840|0|0|
1000001040|7|101|202602|340451|340451|0|0|
1000001040|7|101|202603|1269273|1269273|0|0|
1000001040|7|106|202603|61377|61377|0|0|
1000001077|7|101|202506|719100|143820|0|0|
1000001077|7|101|202509|180000|36000|0|0|
1000001134|7|104|202507|27382|27382|20251229|16|
1000001134|7|101|202508|107431|37840|0|0|
1000001134|7|104|202508|45157|45157|0|0|
1000001134|7|101|202509|15000|15000|0|0|
1000001212|7|104|202406|69764|69764|0|0|
