COPR_OPNP_C|기업공개코드|
10|상장|
15|상장관리|
20|등록|
21|코스닥|
23|코스닥관리|
26|코넥스|
30|외감|
40|일반|
50|중소|
60|개인|
70|공기관|
80|비영리법인|
91|피흡수합병|
92|폐업|
93|청산|
99|기타|
BZSCAL_C|기업규모코드|
0|미입력|
1|30대계열대기업|
2|대기업|
3|30대계열중소기업|
4|중기업|
5|소기업|
6|중견기업|
8|소상공인|
9|기타|
CRDBD_RSNC|신용불량사유코드|
0100|학자금대출6개월이상연체|
0101|대출금3개월이상연체|
0102|분할상환개인주택자금대출금9개월이상연체|
0103|5만원이상카드론대금3개월이상연체|
0104|5만원이상신용카드대금3개월이상연체|
0105|5만원이상할부금융대금3개월이상연체|
0106|매입외환부도대전미결제액3개월이상보유|
0107|외환수수료,USANCE이자미결제3개월이상보유|
0108|해외대출금3개월이상연체|
0109|만기경과어음1개월이상미결제|
0110|만기도래무보증회사채상환약정금지급불이행|
0111|무담보미수채권3개월이상보유|
0112|자산관리공사인수부실채권차주|
0113|정리금융공사의 부실채권인수|
0114|청년창업대출 6개월이상연체|
0115|교육부학자금대출 6개월이상연체|
0201|지보대지급,대위변제금3개월이상보유|
0202|신용보증대지급금보유|
0203|대손보전기금의대위변제발생|
0204|해외지보대지급금3개월이상보유|
0205|구상불능채무미상환,수출어음보험3개월미상환|
0206|신용보증대지급금보유|
0207|신용보증대지급금발생|
0208|학자금대출 6개월이상 연체|
0401|가계수표부도|
0402|당좌수표부도|
0403|약속어음부도|
0404|어음수표부도사실|
0501|보증가계수표초과지급금을3개이상보유|
0502|보증가계수표초과지급금이발생하고10일경과|
0503|가계당좌대지급금보유|
0601|국세체납1년경과500만원이상|
0602|국세1년3회이상체납500만원이상|
0603|국세체납결손처분액500만원이상|
0604|지방세체납1년경과500만원이상|
0605|지방세1년3회이상체납500만원이상|
0606|지방세체납결손처분500만원이상|
0607|국가기관으로부터행정제재조치를받은거래처|
0608|한국자산관리공사가인수한부실채권차주|
0609|근로복지공단의신용보증대지급금을 보유하고있는 거래처|
0610|근로복지공단의신용보증대지급금 발생으로 손실을 초래케한자|
0611|개별 행정청에서 질서위반행위로부관한 고태로체납자|
0612|개별 행정청에서 질서위반행위로부관한 고태로체납자|
0613|개별 행정청에서 질서위반행위로부관한 고태로체납자|
0701|관세등체납1년경과5백만원이상|
0702|관세등1년3회이상체납5백만원이상|
0703|체납결손처분액5백만원이상|
0801|법원판결채무불이행자|
0802|고용.산재보험료 체납발생 1년경과 체납액 5백만원이상|
0803|고용.산재보험료를 1년3회이상체납하고 체납액5백만원이상|
0804|고용.산재보험료 체납결손처분액이 5백만원 이상인자|
0807|임금체불사업주|
0901|금융사기관련유죄판결|
0902|부정대출및거래약정|
0903|위변조자료금융기관제출,고의분식회계|
0904|대출금약정용도외유용|
0905|대여시설물불법처분|
0906|양도담보물미승인임대,처분|
0907|금융기관약정사항부인|
0911|가계수표할인|
0912|타인가계수표발행및제공|
0921|외환거래법의무불이행|
